week,alpha,gamma,total_0_prime,gamma_successes,estimated_0_prime_count,blocks
2025-07-30,0.17670120414449733,0.0,1,0,1,3571
2025-08-06,0.23447475333720255,0.0,70,0,70,5169
2025-08-13,0.27066196631414025,0.0,25,0,25,5106
2025-08-20,0.25081998842369285,0.0,79,0,79,5183
2025-08-27,0.2448103078024338,0.0,229,0,229,5588
2025-09-03,0.23536543124350537,0.002898550724637681,345,1,345,5774
2025-09-10,0.2353648068669528,0.0,308,0,308,5825
2025-09-17,0.21981602146416251,0.011363636363636364,88,1,88,5218
2025-09-24,0.17690466693258874,0.0,0,0,0,5014
2025-10-01,0.1884113584036838,0.0,86,0,86,5212
2025-10-08,0.19439475253428742,0.0,0,0,0,5031
2025-10-15,0.17731481481481481,0.0,1,0,1,2160
